open,high,low,close
23000.09,23025,22938.47,22950.57
22949.17,22996.95,22946.89,22992.54
22992.54,22998.93,22957.79,22969.39
22969.39,23006.13,22965.45,22987.34
22987.34,23020.44,22983.89,23005.76
23005.2,23019.76,22990.49,23001.77
23002.68,23029.62,22992.56,23015.95
23014.6,23025.95,22960.62,22982.86
22982.85,22989.99,22902.16,22924.9
22924.9,22951,22890.52,22946.67
22946.67,22980.27,22939.79,22977.27
22978.05,23013.82,22957.47,23000.91
23000.9,23009.88,22980,22999.48
22998.69,23013.98,22961.99,22969.9
22969.9,23055,22965.01,23038.48
23038.48,23151,23035,23071.85
23071.85,23145,23051.43,23115.02
23115.02,23184.21,23115.02,23149.8
23149.8,23163.25,23132.18,23152.76
23153.02,23172.84,23089.11,23101.31
23099.69,23131.99,23055.94,23119.59
23118.57,23123.63,23040.17,23053.56
23053.56,23083.98,23010.84,23023.14
23021.97,23104.71,22994,23098.81
23098.09,23137.29,23082.76,23093.7
23093.13,23300,23090,23219.31
23217.73,23269,23202,23240.4
23238.33,23287.26,23225.21,23241.99
23240.45,23247,23184.36,23215.6
23214.59,23224.11,23171.68,23183.15
23183.84,23208.54,23141.48,23161.02
23162.46,23275,23151.63,23226.07
23227.19,23279.97,23225.1,23264.01
23264.01,23402,23262.02,23325.82
23326.76,23334.2,23277.15,23311.34
23311.34,23323,23246,23261.96
23261.96,23274.16,23215.6,23244.63
23244.63,23252.92,23051.71,23104.74
23102.88,23199,23099.16,23174.39
23174.39,23350,23154.25,23249.02
23249.02,23283.52,23191.5,23264.25
23262.89,23275.15,23185.3,23223.04
23221.75,23230,23162.98,23220.08
23218.93,23283.78,23203.82,23241.45
23242.18,23328.72,23234.15,23302.44
23303.17,23320,23254.36,23295.77
23295.77,23344,23282.03,23306.63
23306.62,23359.76,23278.14,23293.79
23294.42,23355.75,23293.77,23341.39
23341.39,23418.7,23331.32,23388.44
23388.44,23467,23370,23430.31
23430.31,23658.62,23430.31,23635.53
23635.53,23792.86,23632.18,23729.49
23729.49,23840.93,23682.07,23815.87
23814.49,23852.43,23763.24,23807.68
23807.53,23960,23771.01,23922.7
23922,24175.07,23915.9,24133.46
24133.46,24189.43,24097.86,24134.45
24134.45,24164.33,24056.11,24090.38
24092.18,24120,24000,24031.78
24032.78,24117.09,24030,24061.06
24059.74,24088,24013.28,24054.55
24055.58,24182.3,24040,24166.12
24166.12,24245,24066.87,24135.34
24133.1,24147.45,24071.03,24122.21
24122.21,24124.4,24007.55,24050.38
24048.69,24211.99,24018.23,24160.36
24160.27,24194.19,24076.53,24145.5
24145.5,24222.61,24117.6,24145.76
24147.52,24211.42,23943.28,23970.42
23972.89,24037.27,23892.57,23991.38
23991.38,24011.93,23841.6,23868.25
23868.25,23963.71,23852.84,23939.66
23939.66,23992.78,23901.22,23922.83
23922.83,23975.56,23911,23964.99
23963.73,23970,23875.44,23950.25
23948.39,23982.23,23902.61,23917.89
23917.89,23950,23793.33,23932.46
23933.74,23957.63,23879.96,23926.83
23926.84,23967.5,23908.96,23959.82
23959.82,24104.55,23938.88,24066.49
24066.49,24068.31,23762.38,23845.13
23845.13,23858.93,23780,23850.33
23850.33,23854.47,23779.11,23806.33
23808.36,23831.75,23670.88,23813.39
23813.39,23922.7,23758.17,23779.79
23778.96,23827.32,23755.36,23810
23810.98,23851.2,23727.95,23828.73
23829.64,23869.96,23780.64,23794
23792.61,23830.82,23753.6,23813.07
23815.07,23839.16,23708.31,23733.96
23732.97,23787.05,23626.87,23770.7
23771.97,23815.95,23767.97,23807.74
23807.74,23849,23776.98,23846.41
23846.41,23847.75,23801.97,23828.96
23828.98,23877.81,23792.11,23819.87
23819.87,23904.26,23804.71,23884.91
23884.91,23904.91,23850,23867.67
23867.67,23933.25,23857,23873.74
23873.74,23881.22,23754.51,23772.69
23772.69,23857.62,23762.81,23849.8
23849.8,23906.78,23815.49,23836.18
23834.94,23879.73,23820.3,23878.12
23878.12,23890.47,23793.88,23832.43
23832.43,23851.61,23768.04,23777.27
23777.27,23829,23662.14,23703.77
23703.77,23741.51,23470,23472.62
23472.62,23531.87,23366.84,23380.15
23380.14,23413.24,23336.15,23350.39
23350.39,23414.35,23333.75,23363.18
23364.04,23389.9,23182.55,23263.92
23263.34,23307.3,23216.55,23273.2
23271.16,23307.2,23200.27,23244.76
23245.15,23303.88,23194.08,23295.4
23295.4,23327.07,23012.85,23068.42
23068.42,23076.75,22865,23041.2
23042.52,23125.15,23016.85,23098.85
23098.85,23157.89,23029.15,23120.74
23120.74,23137.17,23072.04,23075
23075,23100,22988.09,23035.08
23035.08,23120,23022.83,23071.96
23071.96,23122.79,23038.15,23118.37
23120.13,23132.11,22970,23053.98
23053.98,23073.96,22986,23017.24
23016.36,23070.94,22996.27,23053.55
23051.41,23082.21,23006,23053.82
23052.83,23098,23032.43,23053.82
23053.82,23123.86,23050,23118.59
23118.59,23184.97,23107.68,23137.35
23137.35,23217.57,23123.47,23202.36
23203.59,23210.15,23162.34,23191.6
23191.6,23262.86,23142.75,23239.46
23240.66,23265,23117.92,23170.32
23170.32,23242.23,23162.62,23203.57
23202.3,23230,23133.31,23149.95
23151.32,23151.32,23014.33,23038.61
23037.79,23042.05,22664.69,22771.87
22771.87,22949.09,22761.11,22925.86
22927.02,22927.02,22830,22886.25
22885.9,22920.18,22760,22837.41
22837.41,22924.4,22781.9,22913.53
22913.53,22939.52,22864.42,22897.92
22897.94,22918.75,22850,22863.75
22863.75,22924.95,22849.46,22904.26
22905.42,23004.52,22897.95,22943.35
22941.32,22966.62,22915.02,22926.91
22927.42,22944.23,22880,22900.86
22899.26,22910.88,22829.17,22878.69
22878.69,22954.92,22850,22936.65
22936.65,22976.91,22923.02,22956.46
22956.46,23011.5,22923,22963.67
22963.67,23035.99,22961.96,23026.48
23026.48,23139,23023.57,23103.3
23103.3,23129.58,23041.22,23072.81
23072.81,23094.81,23025.49,23082.32
23083.81,23091.18,23033.67,23060.76
23059.75,23089.99,22983.08,23064.45
23063.68,23204,23047.49,23185.87
23186.82,23197.74,23054.31,23123.95
23122.36,23199.99,23004.58,23063.99
23063.1,24056.22,23060.56,23985.18
23983.92,24178,23852.83,24137.45
24134.99,24168.05,23961,24018.75
24016.31,24068.82,23830.05,23919.58
23918.31,24082.2,23868.91,24002.48
24003.48,24069.49,23917.52,23994.1
23992.15,24078,23967.33,23997.1
23997.1,24092.52,23970.56,24025.27
24026.99,24032.01,23930.39,23960.18
23960.18,23969.36,23826.5,23892.73
23893.82,23943.97,23870,23915.64
23915.5,23931.25,23739.5,23757.68
23757.68,23789.9,23475.4,23598.15
23599.87,23708.81,23539,23606.44
23606.44,23662.85,23571.36,23638.95
23638.95,23701.2,23622.96,23682.94
23682.05,23938.86,23681.12,23893.94
23893.94,24100,23771.43,24071.14
24071.14,24226,23864.39,23958.64
23957.96,24026.37,23864.52,23941.68
23941.68,23947.31,23803.35,23842.75
23842.75,23932.27,23820.15,23866.77
23866.77,23967.61,23864.43,23954.05
23954.05,24078.22,23923.76,23945.12
23945.12,24095.12,23912.39,24049.93
24051.88,24450.83,24042.51,24384.24
24387.87,24491.22,24262.02,24436.84
24438.33,24463.64,24263.08,24303.11
24303.11,24377.55,24195.23,24263.85
24263.85,24353.74,24210.01,24324.09
24323.01,24379.46,24300.01,24324.38
24324.37,24388.88,24289.2,24303
24303,24543.35,24287.47,24520.24
24520.24,24655.01,24473.29,24547.03
24546.51,24660,24507.64,24559.66
24558.36,24621.41,24521.8,24570.79
24570.21,24598.67,24478.01,24542.61
24541.44,24624.87,24516.93,24620.6
24621.9,24745,24355.78,24431.88
24431.88,24489,24345.08,24456.58
24456.58,24555.52,24430,24524.03
24523.65,24534.94,24444,24465.82
24465.82,24538,24438,24441.13
24441.13,24472.49,24381.23,24455.66
24456.91,24522.24,24442.11,24478.3
24479.06,24548.24,24462.98,24542.74
24543.54,24685.2,24524.36,24559.37
24559.37,24734.49,24546,24612.47
24613.83,24918.54,24531.05,24862.02
24862.02,24880,24576.79,24637.22
24635.71,24774.16,24528.29,24731.75
24731.75,24869.5,24635.55,24639
24639.28,24704.72,24425.63,24562.81
24564.56,24584.58,24361.76,24487.74
24485.96,24541.5,24280.18,24343.68
24343.68,24397.6,24255.72,24371.31
24369.21,24416.5,24245,24339.41
24339.41,24403.45,24298,24355.02
24355.02,24418.5,24279.72,24342.78
24342.78,24344.57,24084.96,24197.96
24197.96,24250,24081.22,24148.75
24147.63,24184.5,24081.23,24159.25
24159.25,24229.29,24137.29,24221.81
24222.73,24239.02,24037.58,24161.19
24159.6,24225,24132.43,24203.27
24202.28,24212.31,24150.44,24183.95
24184.34,24334.46,24045,24183.29
24183.3,24210,24066.66,24079.77
24079.77,24152.37,23890.67,23893.28
23893.27,23955,23852.13,23909.48
23910.83,23962.11,23865,23934.39
23933.09,23973.8,23761.84,23877.62
23877.62,24009.67,23877.62,23964.37
23965.31,24000,23885,23945.6
23945.6,23949.86,23853.65,23906.32
23906.32,23935.97,23795.41,23925.99
